Images space usage:

REPOSITORY     TAG       IMAGE ID       CREATED             SIZE      SHARED SIZE   UNIQUE SIZE   CONTAINERS
3ucduu92b39c   regular      136kB     About an hour ago   About an hour ago   1         true
syx2l0s9wk8m   regular      0B        3 hours ago         About an hour ago   7         true
kdenibxd58l1   regular      167MB     About an hour ago   About an hour ago   1         true
shs366hfrd3n   regular      0B        3 hours ago         18 minutes ago      2         true
j3ue6dmdv4fa   regular      520B      18 minutes ago      18 minutes ago      1         true
ofolq041ehzp   regular      71.6MB    3 hours ago         11 minutes ago      8         true
rzqtmn6mxrko   regular      65.8kB    11 minutes ago      11 minutes ago      1         true
jkz4w9063xb8   frontend     0B        3 hours ago         5 minutes ago       13        false
vtdokqif9yxd   regular      379kB     7 minutes ago       5 minutes ago       1         true
dxpps061kwnl   regular      1.05GB    5 minutes ago       5 minutes ago       1         true
4l3ydswfeyvu   regular      1.1GB     18 minutes ago      5 minutes ago       3         true
